depth_mMDRF,inclination_deg,azimuth_deg,TVD_mRF,mRSL,easting_m,northing_m
2110.18,19.1,431.29,2037.81,-2037.81,-55.04000000003725,413.40000000037253
2120.58,19.2,429.66,2047.63,-2047.63,-55.60000000009313,416.7599999997765
2130.86,19.11,431.19,2057.34,-2057.34,-56.16000000014901,420.089999999851
2140.13,19.18,429.95,2066.1,-2066.1,-56.66000000014901,423.0800000000745
2150.59,19.25,430.52,2075.98,-2075.98,-57.24000000022352,426.48000000044703
2160.1,19.25,430.37,2084.95,-2084.95,-57.77000000001863,429.570000000298
2170.57,19.28,429.85,2094.84,-2094.84,-58.359999999869615,432.96999999973923
2181.0,19.27,430.48,2104.68,-2104.68,-58.950000000186265,436.3600000003353
2190.38,19.37,429.29,2113.53,-2113.53,-59.49000000022352,439.4199999999255
2200.73,19.26,430.66,2123.3,-2123.3,-60.08999999985099,442.79000000003725
2202.42,19.15,430.26,2124.9,-2124.9,-60.18000000016764,443.339999999851
